2026-04-21 06:54 | SIGNAL | BTC/USDT LONG | grade=? conf=81.9 | entry=75462.8000-75746.2206 sl=73790.0021 tp1=77419.0186 tp2=77963.3710 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:55 | SIGNAL | BZ/USDT LONG | grade=? conf=67.5 | entry=89.7525-90.2251 sl=87.8290 tp1=92.1485 tp2=93.2716 | rr=1.52 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.52<2.00)
2026-04-21 06:55 | SIGNAL | EDU/USDT LONG | grade=? conf=58.7 | entry=0.0616-0.0635 sl=0.0594 tp1=0.0697 tp2=0.0806 | rr=5.77 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=38 vol=48 flow=70 deriv=60 sent=65 corr=60 → REJECTED(AGG_THRESHOLD score=58.7<60)
2026-04-21 06:55 | SIGNAL | 币安人生/USDT LONG | grade=? conf=50.3 | entry=0.4174-0.4351 sl=0.3513 tp1=0.5012 tp2=0.8760 | rr=6.00 | strategy=SmartMoneyConcepts | regime=UNKNOWN | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(ZERO_DATA_SIGNAL)
2026-04-21 06:55 | SIGNAL | ORDI/USDT LONG | grade=? conf=56.1 | entry=4.3210-4.5164 sl=4.2014 tp1=5.2030 tp2=5.7226 | rr=6.00 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=75 vol=44 flow=50 deriv=40 sent=56 corr=60 → REJECTED(AGG_THRESHOLD score=56.1<60)
2026-04-21 06:55 | SIGNAL | ADA/USDT LONG | grade=? conf=87.7 | entry=0.2484-0.2498 sl=0.2432 tp1=0.2551 tp2=0.2569 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:55 | SIGNAL | SUI/USDT LONG | grade=? conf=92.2 | entry=0.9361-0.9419 sl=0.9165 tp1=0.9712 tp2=0.9767 | rr=1.67 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.67<2.00)
2026-04-21 06:55 | SIGNAL | AVAX/USDT LONG | grade=? conf=58.9 | entry=9.2555-9.3089 sl=8.7883 tp1=10.0336 tp2=10.1811 | rr=1.82 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.82<2.00)
2026-04-21 06:55 | SIGNAL | HIGH/USDT LONG | grade=? conf=59.1 | entry=0.3134-0.3306 sl=0.2702 tp1=0.4067 tp2=0.4757 | rr=2.97 | strategy=PriceAction | regime=BULL_TREND | tech=75 vol=51 flow=33 deriv=52 sent=65 corr=60 → REJECTED(AGG_THRESHOLD score=59.1<60)
2026-04-21 06:55 | SIGNAL | SUPER/USDT LONG | grade=? conf=51.4 | entry=0.1307-0.1315 sl=0.1232 tp1=0.1399 tp2=0.1527 | rr=2.73 | strategy=FundingRateArb | regime=BULL_TREND | tech=52 vol=26 flow=52 deriv=60 sent=65 corr=60 → REJECTED(AGG_THRESHOLD score=51.4<60)
2026-04-21 06:55 | SIGNAL | RIVER/USDT LONG | grade=? conf=48.5 | entry=5.0438-5.1928 sl=4.2864 tp1=5.9503 tp2=9.1330 | rr=4.83 | strategy=SmartMoneyConcepts | regime=UNKNOWN | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(ZERO_DATA_SIGNAL)
2026-04-21 06:55 | SIGNAL | TAO/USDT LONG | grade=? conf=51.7 | entry=243.6700-246.0822 sl=236.6378 tp1=261.0800 tp2=263.5515 | rr=2.27 | strategy=GeometricPattern:FallingWedge | regime=BULL_TREND | tech=38 vol=48 flow=50 deriv=50 sent=56 corr=50 → REJECTED(AGG_THRESHOLD score=51.7<60)
2026-04-21 06:55 | SIGNAL | CRCL/USDT LONG | grade=C conf=64.0 | entry=105.6895-106.3210 sl=103.4611 tp1=112.6920 tp2=113.4553 | rr=2.93 | strategy=PriceAction | regime=BULL_TREND | tech=64 vol=51 flow=57 deriv=40 sent=56 corr=60 → APPROVED
2026-04-21 06:56 | SIGNAL | GRIFFAIN/USDT SHORT | grade=? conf=54.4 | entry=0.0181-0.0185 sl=0.0191 tp1=0.0171 tp2=0.0169 | rr=1.81 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.81<2.00)
2026-04-21 06:56 | SIGNAL | NEAR/USDT LONG | grade=? conf=95.0 | entry=1.3650-1.3737 sl=1.3339 tp1=1.4048 tp2=1.4155 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:56 | SIGNAL | FIL/USDT LONG | grade=? conf=95.0 | entry=0.9130-0.9191 sl=0.8940 tp1=0.9380 tp2=0.9453 | rr=1.33 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.33<1.50)
2026-04-21 06:56 | SIGNAL | UAI/USDT LONG | grade=? conf=49.2 | entry=0.2861-0.2929 sl=0.2793 tp1=0.3125 tp2=0.3477 | rr=5.69 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=34 vol=56 flow=70 deriv=40 sent=56 corr=60 → REJECTED(AGG_THRESHOLD score=49.2<60)
2026-04-21 06:56 | SIGNAL | M/USDT LONG | grade=? conf=58.3 | entry=3.2000-3.3171 sl=2.8230 tp1=3.7775 tp2=5.8719 | rr=6.00 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=63 vol=44 flow=50 deriv=70 sent=56 corr=60 → REJECTED(AGG_THRESHOLD score=58.3<60)
2026-04-21 06:56 | SIGNAL | DOT/USDT LONG | grade=C conf=64.4 | entry=1.2450-1.2532 sl=1.2191 tp1=1.2791 tp2=1.3000 | rr=1.70 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=86 vol=40 flow=70 deriv=30 sent=56 corr=50 → APPROVED
2026-04-21 06:56 | SIGNAL | MSTR/USDT LONG | grade=C conf=61.7 | entry=171.8968-172.9864 sl=162.5521 tp1=196.4699 tp2=231.7786 | rr=6.00 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=61 vol=51 flow=63 deriv=50 sent=56 corr=60 → APPROVED
2026-04-21 06:56 | SIGNAL | PENGU/USDT LONG | grade=? conf=96.0 | entry=0.0077-0.0077 sl=0.0074 tp1=0.0081 tp2=0.0082 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:56 | SIGNAL | MERL/USDT SHORT | grade=? conf=49.3 | entry=0.0365-0.0375 sl=0.0403 tp1=0.0338 tp2=0.0325 | rr=1.39 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.39<2.00)
2026-04-21 06:56 | SIGNAL | TRUMP/USDT LONG | grade=? conf=92.0 | entry=2.8506-2.8668 sl=2.7901 tp1=2.9273 tp2=2.9479 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:56 | SIGNAL | TRX/USDT LONG | grade=? conf=95.0 | entry=0.3286-0.3294 sl=0.3211 tp1=0.3369 tp2=0.3376 | rr=1.10 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.10<1.50)
2026-04-21 06:56 | SIGNAL | EDGE/USDT LONG | grade=C conf=69.7 | entry=1.3815-1.4089 sl=1.2713 tp1=1.5191 tp2=2.0828 | rr=5.55 | strategy=PriceAction | regime=BULL_TREND | tech=86 vol=52 flow=62 deriv=50 sent=56 corr=60 → APPROVED
2026-04-21 06:56 | SIGNAL | CHZ/USDT SHORT | grade=? conf=49.7 | entry=0.0456-0.0461 sl=0.0473 tp1=0.0419 tp2=0.0415 | rr=3.11 | strategy=PriceAction | regime=BULL_TREND | tech=51 vol=45 flow=52 deriv=40 sent=50 corr=50 → REJECTED(AGG_THRESHOLD score=49.7<60)
2026-04-21 06:56 | SIGNAL | GWEI/USDT LONG | grade=C conf=61.0 | entry=0.0991-0.1026 sl=0.0977 tp1=0.1108 tp2=0.1198 | rr=6.00 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=66 vol=47 flow=63 deriv=40 sent=56 corr=60 → APPROVED
2026-04-21 06:56 | SIGNAL | LTC/USDT LONG | grade=? conf=95.0 | entry=55.0221-55.2259 sl=53.8010 tp1=56.4469 tp2=56.8438 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:56 | SIGNAL | WLD/USDT LONG | grade=? conf=95.0 | entry=0.2621-0.2643 sl=0.2569 tp1=0.2695 tp2=0.2711 | rr=1.26 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.26<1.50)
2026-04-21 06:56 | SIGNAL | UNI/USDT LONG | grade=? conf=74.7 | entry=3.3151-3.3358 sl=3.0157 tp1=3.7158 tp2=3.8087 | rr=1.56 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.56<2.00)
2026-04-21 06:56 | SIGNAL | BCH/USDT LONG | grade=? conf=95.0 | entry=440.4800-441.9356 sl=430.6188 tp1=451.7968 tp2=454.9735 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:56 | SIGNAL | ENJ/USDT LONG | grade=C conf=70.9 | entry=0.0598-0.0601 sl=0.0568 tp1=0.0636 tp2=0.0685 | rr=2.70 | strategy=FundingRateArb | regime=BULL_TREND | tech=85 vol=52 flow=62 deriv=70 sent=65 corr=50 → APPROVED
2026-04-21 06:56 | SIGNAL | FARTCOIN/USDT LONG | grade=? conf=54.2 | entry=0.1995-0.2025 sl=0.1913 tp1=0.2220 tp2=0.2248 | rr=2.45 | strategy=GeometricPattern:FallingWedge | regime=BULL_TREND | tech=54 vol=53 flow=52 deriv=40 sent=56 corr=50 → REJECTED(AGG_THRESHOLD score=54.2<60)
2026-04-21 06:56 | SIGNAL | CRV/USDT LONG | grade=B conf=73.7 | entry=0.2310-0.2329 sl=0.2264 tp1=0.2440 tp2=0.2456 | rr=2.46 | strategy=PriceAction | regime=BULL_TREND | tech=90 vol=58 flow=60 deriv=40 sent=56 corr=50 → APPROVED
2026-04-21 06:56 | SIGNAL | PNUT/USDT LONG | grade=C conf=61.9 | entry=0.0557-0.0574 sl=0.0539 tp1=0.0720 tp2=0.0722 | rr=6.00 | strategy=GeometricPattern:FallingWedge | regime=BULL_TREND | tech=61 vol=52 flow=63 deriv=50 sent=56 corr=50 → APPROVED
2026-04-21 06:56 | SIGNAL | GIGGLE/USDT LONG | grade=C conf=66.5 | entry=38.2964-39.0572 sl=34.5877 tp1=46.6372 tp2=62.7207 | rr=5.88 | strategy=ElliottWave | regime=BULL_TREND | tech=81 vol=69 flow=50 deriv=50 sent=56 corr=60 → APPROVED
2026-04-21 06:57 | SIGNAL | ARB/USDT LONG | grade=? conf=98.0 | entry=0.1264-0.1274 sl=0.1234 tp1=0.1304 tp2=0.1314 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:57 | SIGNAL | ASTER/USDT LONG | grade=? conf=95.0 | entry=0.6749-0.6778 sl=0.6601 tp1=0.6926 tp2=0.6975 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:57 | SIGNAL | XLM/USDT LONG | grade=? conf=82.1 | entry=0.1716-0.1726 sl=0.1501 tp1=0.1991 tp2=0.2057 | rr=1.53 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.53<2.00)
2026-04-21 06:57 | SIGNAL | BIO/USDT LONG | grade=B conf=72.1 | entry=0.0287-0.0288 sl=0.0277 tp1=0.0298 tp2=0.0322 | rr=3.28 | strategy=InstitutionalBreakout | regime=BULL_TREND | tech=78 vol=81 flow=50 deriv=70 sent=65 corr=60 → APPROVED
2026-04-21 06:57 | SIGNAL | GENIUS/USDT LONG | grade=B conf=75.1 | entry=0.6044-0.6118 sl=0.5657 tp1=0.6420 tp2=0.7289 | rr=2.85 | strategy=PriceAction | regime=BULL_TREND | tech=92 vol=63 flow=57 deriv=50 sent=56 corr=60 → APPROVED
2026-04-21 06:57 | SIGNAL | PROM/USDT LONG | grade=B conf=72.8 | entry=2.1670-2.2489 sl=2.0861 tp1=2.4250 tp2=2.9391 | rr=6.00 | strategy=PriceAction | regime=BULL_TREND | tech=89 vol=45 flow=78 deriv=50 sent=56 corr=60 → APPROVED
2026-04-21 06:57 | SIGNAL | ARIA/USDT LONG | grade=C conf=66.2 | entry=0.0901-0.0962 sl=0.0574 tp1=0.1289 tp2=0.2168 | rr=3.46 | strategy=PriceAction | regime=BULL_TREND | tech=95 vol=76 flow=30 deriv=30 sent=56 corr=60 → APPROVED
2026-04-21 06:57 | SIGNAL | DEXE/USDT LONG | grade=? conf=55.4 | entry=14.1888-14.4490 sl=13.7632 tp1=14.8745 tp2=17.4916 | rr=5.71 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=58 vol=42 flow=33 deriv=60 sent=56 corr=50 → REJECTED(AGG_THRESHOLD score=55.4<60)
2026-04-21 06:57 | SIGNAL | MON/USDT LONG | grade=? conf=74.2 | entry=0.0293-0.0297 sl=0.0245 tp1=0.0371 tp2=0.0386 | rr=1.81 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.81<2.00)
2026-04-21 06:57 | SIGNAL | LDO/USDT LONG | grade=? conf=95.0 | entry=0.3725-0.3772 sl=0.3498 tp1=0.3999 tp2=0.4074 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:57 | SIGNAL | 1000SHIB/USDT LONG | grade=? conf=95.0 | entry=0.0060-0.0061 sl=0.0059 tp1=0.0062 tp2=0.0062 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:57 | SIGNAL | GALA/USDT LONG | grade=? conf=75.5 | entry=0.0032-0.0032 sl=0.0031 tp1=0.0033 tp2=0.0033 | rr=1.49 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.49<2.00)
2026-04-21 06:57 | SIGNAL | FET/USDT LONG | grade=? conf=83.3 | entry=0.2116-0.2132 sl=0.2065 tp1=0.2184 tp2=0.2234 | rr=1.85 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.85<2.00)
2026-04-21 06:57 | SIGNAL | PUMP/USDT LONG | grade=C conf=62.1 | entry=0.0018-0.0018 sl=0.0018 tp1=0.0020 tp2=0.0020 | rr=2.81 | strategy=GeometricPattern:FallingWedge | regime=BULL_TREND | tech=52 vol=59 flow=55 deriv=70 sent=56 corr=60 → APPROVED
2026-04-21 06:57 | SIGNAL | CFG/USDT LONG | grade=? conf=58.4 | entry=0.2450-0.2498 sl=0.2300 tp1=0.2663 tp2=0.2998 | rr=3.02 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=70 vol=33 flow=70 deriv=40 sent=56 corr=50 → REJECTED(AGG_THRESHOLD score=58.4<60)
2026-04-21 06:57 | SIGNAL | BLESS/USDT LONG | grade=C conf=70.4 | entry=0.0056-0.0060 sl=0.0052 tp1=0.0068 tp2=0.0085 | rr=4.96 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=92 vol=62 flow=50 deriv=40 sent=56 corr=60 → APPROVED
2026-04-21 06:58 | SIGNAL | BULLA/USDT SHORT | grade=? conf=59.4 | entry=0.0100-0.0103 sl=0.0116 tp1=0.0087 tp2=0.0083 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-21 06:58 | SIGNAL | IRYS/USDT SHORT | grade=? conf=49.3 | entry=0.0326-0.0333 sl=0.0354 tp1=0.0292 tp2=0.0285 | rr=1.85 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.85<2.00)
2026-04-21 06:58 | SIGNAL | 1000BONK/USDT LONG | grade=? conf=95.0 | entry=0.0061-0.0061 sl=0.0060 tp1=0.0063 tp2=0.0063 | rr=1.49 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.49<1.50)
2026-04-21 06:58 | SIGNAL | TON/USDT LONG | grade=? conf=95.0 | entry=1.3664-1.3745 sl=1.3334 tp1=1.4075 tp2=1.4186 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<1.50)
2026-04-21 06:58 | SIGNAL | XPL/USDT LONG | grade=C conf=71.4 | entry=0.1041-0.1053 sl=0.1012 tp1=0.1081 tp2=0.1118 | rr=2.07 | strategy=PriceAction | regime=BULL_TREND | tech=89 vol=56 flow=52 deriv=70 sent=56 corr=60 → APPROVED
2026-04-21 06:58 | SIGNAL | TIA/USDT LONG | grade=? conf=54.4 | entry=0.3740-0.3779 sl=0.3632 tp1=0.3916 tp2=0.4125 | rr=2.86 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=71 vol=44 flow=53 deriv=40 sent=56 corr=50 → REJECTED(AGG_THRESHOLD score=54.4<60)
2026-04-21 06:58 | SIGNAL | INTC/USDT LONG | grade=C conf=67.6 | entry=66.2763-66.5574 sl=64.8229 tp1=68.2900 tp2=69.5570 | rr=1.97 | strategy=PriceAction | regime=BULL_TREND | tech=92 vol=39 flow=52 deriv=50 sent=56 corr=60 → APPROVED
2026-04-21 06:58 | SIGNAL | PRL/USDT LONG | grade=? conf=53.1 | entry=0.2151-0.2235 sl=0.1998 tp1=0.2957 tp2=0.3363 | rr=6.00 | strategy=GeometricPattern:FallingWedge | regime=BULL_TREND | tech=52 vol=45 flow=70 deriv=40 sent=56 corr=60 → REJECTED(AGG_THRESHOLD score=53.1<60)
2026-04-21 06:58 | SIGNAL | TRADOOR/USDT LONG | grade=? conf=56.2 | entry=7.6080-7.9847 sl=6.5414 tp1=9.4566 tp2=11.9710 | rr=3.33 | strategy=Ichimoku | regime=BULL_TREND | tech=61 vol=46 flow=50 deriv=60 sent=56 corr=60 → REJECTED(AGG_THRESHOLD score=56.2<60)
2026-04-21 06:58 | SIGNAL | WIF/USDT LONG | grade=? conf=82.1 | entry=0.1960-0.1976 sl=0.1848 tp1=0.2137 tp2=0.2173 | rr=1.72 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.72<2.00)
2026-04-21 06:58 | SIGNAL | OP/USDT LONG | grade=? conf=91.1 | entry=0.1224-0.1233 sl=0.1062 tp1=0.1504 tp2=0.1554 | rr=1.96 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.96<2.00)
2026-04-21 06:58 | SIGNAL | VVV/USDT SHORT | grade=? conf=66.4 | entry=9.3195-9.4320 sl=9.7061 tp1=9.0079 tp2=8.9100 | rr=1.41 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.41<2.00)
2026-04-21 06:58 | SIGNAL | HOOD/USDT LONG | grade=? conf=55.2 | entry=90.4933-90.9348 sl=82.0554 tp1=100.0343 tp2=102.6319 | rr=1.38 | strategy=ElliottWave | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.38<2.00)
2026-04-21 06:58 | SIGNAL | APT/USDT LONG | grade=? conf=59.5 | entry=0.9201-0.9265 sl=0.8999 tp1=0.9504 tp2=0.9663 | rr=1.84 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=86 vol=51 flow=51 deriv=40 sent=56 corr=50 → REJECTED(AGG_THRESHOLD score=59.5<60)
2026-04-21 06:58 | SIGNAL | HBAR/USDT LONG | grade=C conf=68.2 | entry=0.0879-0.0883 sl=0.0831 tp1=0.0973 tp2=0.0988 | rr=2.13 | strategy=ElliottWave | regime=BULL_TREND | tech=84 vol=46 flow=50 deriv=50 sent=56 corr=50 → APPROVED
2026-04-21 06:58 | SIGNAL | KERNEL/USDT LONG | grade=B conf=79.4 | entry=0.0666-0.0679 sl=0.0640 tp1=0.0715 tp2=0.0848 | rr=5.46 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=70 vol=56 flow=66 deriv=100 sent=76 corr=60 → APPROVED
2026-04-21 06:58 | SIGNAL | SOON/USDT LONG | grade=C conf=65.7 | entry=0.1699-0.1738 sl=0.1640 tp1=0.1821 tp2=0.2036 | rr=4.05 | strategy=PriceAction | regime=BULL_TREND | tech=92 vol=53 flow=58 deriv=30 sent=56 corr=60 → APPROVED
2026-04-21 06:58 | SIGNAL | VIRTUAL/USDT LONG | grade=? conf=95.0 | entry=0.6891-0.6944 sl=0.6711 tp1=0.7125 tp2=0.7147 | rr=1.11 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.11<1.50)
